Entity,Code,Year,Official development assistance (ODA) by recipient (Official donors),1012392-annotations
Africa (OECD),,2022,70144240000,
Africa (OECD),,2023,65333776000,
African Development Bank,,1972,4713272,
African Development Bank,,1973,186356350,
African Development Bank,,1974,109780950,
African Development Bank,,1975,7732854,
African Development Bank,,1976,34797430,
African Development Bank,,1977,47471304,
African Development Bank,,1978,29715480,
African Development Bank,,1979,14455099,
African Development Bank,,1980,13576976,
African Development Bank,,1981,22177480,
African Development Bank,,1982,34182452,
African Development Bank,,1983,217964640,
African Development Bank,,1984,191370320,
African Development Bank,,1985,191218560,
African Development Bank,,1986,178587170,
African Development Bank,,1987,258144160,
African Development Bank,,1988,87829270,
African Development Bank,,1989,330038720,
African Development Bank,,1990,132255030,
African Development Bank,,1991,69029860,
African Development Bank,,1992,81330650,
African Development Bank,,1993,60963904,
African Development Bank,,1994,150099340,
African Development Bank,,1995,104629,
African Development Bank,,1996,190872,
African Development Bank,,1997,15296323,
African Development Bank,,1998,334224500,
African Development Bank,,1999,251104690,
African Development Bank,,2000,141448180,
African Development Bank,,2001,247526220,
African Development Bank,,2002,132808960,
African Development Bank,,2003,127503870,
African Development Bank,,2004,532795460,
African Development Bank,,2005,432536000,
African Development Bank,,2006,520910050,
African Development Bank,,2007,479354900,
African Development Bank,,2008,282246530,
African Development Bank,,2009,142777310,
African Development Bank,,2010,104118690,
African Development Bank,,2011,410546240,
African Development Bank,,2012,293456930,
African Development Bank,,2013,318401250,
African Development Bank,,2014,350740770,
African Development Bank,,2015,318307070,
African Development Bank,,2016,285927400,
African Development Bank,,2017,262297730,
African Development Bank,,2018,243141420,
African Development Bank,,2019,183377100,
African Development Bank,,2020,344484380,
African Development Bank,,2021,505512060,
African Development Bank,,2022,381270180,
African Development Bank,,2023,401495040,
African Development Fund,,1973,968616,
African Development Fund,,1974,122665290,
African Development Fund,,1975,246195460,
African Development Fund,,1976,294435940,
African Development Fund,,1977,391577180,
African Development Fund,,1978,380643800,
African Development Fund,,1979,588614660,
African Development Fund,,1980,608681800,
African Development Fund,,1981,511589950,
African Development Fund,,1982,517425600,
African Development Fund,,1983,1054370940,
African Development Fund,,1984,1040986700,
African Development Fund,,1985,778962900,
African Development Fund,,1986,1155181000,
African Development Fund,,1987,922541500,
African Development Fund,,1988,1176478000,
African Development Fund,,1989,1168283300,
African Development Fund,,1990,1432105900,
African Development Fund,,1991,299473800,
African Development Fund,,1992,1296006500,
African Development Fund,,1993,1441432200,
African Development Fund,,1994,843200830,
African Development Fund,,1995,22611072,
African Development Fund,,1996,221464800,
African Development Fund,,1997,866259000,
African Development Fund,,1998,962748500,
African Development Fund,,1999,338790180,
African Development Fund,,2000,1323469600,
African Development Fund,,2001,881378800,
African Development Fund,,2002,993145100,
African Development Fund,,2003,949055200,
African Development Fund,,2004,640501500,
African Development Fund,,2005,840601340,
African Development Fund,,2006,1049942400,
African Development Fund,,2007,856686000,
African Development Fund,,2008,1448177900,
African Development Fund,,2009,1649432400,
African Development Fund,,2010,1352512300,
African Development Fund,,2011,1430489100,
African Development Fund,,2012,1579487500,
African Development Fund,,2013,1655654000,
African Development Fund,,2014,1755203000,
African Development Fund,,2015,1700784500,
African Development Fund,,2016,1709038700,
African Development Fund,,2017,2077901300,
African Development Fund,,2018,1960102800,
African Development Fund,,2019,1803713000,
African Development Fund,,2020,1671166000,
African Development Fund,,2021,2253496300,
African Development Fund,,2022,1973772800,
African Development Fund,,2023,1702487000,
"African, Caribbean and Pacific countries (OECD)",,1960,3235473400,
"African, Caribbean and Pacific countries (OECD)",,1961,4984713000,
"African, Caribbean and Pacific countries (OECD)",,1962,5779666000,
"African, Caribbean and Pacific countries (OECD)",,1963,5616489500,
"African, Caribbean and Pacific countries (OECD)",,1964,7576833000,
"African, Caribbean and Pacific countries (OECD)",,1965,9727035000,
"African, Caribbean and Pacific countries (OECD)",,1966,9450412000,
"African, Caribbean and Pacific countries (OECD)",,1967,9082316000,
"African, Caribbean and Pacific countries (OECD)",,1968,9774360000,
"African, Caribbean and Pacific countries (OECD)",,1969,9038854000,
"African, Caribbean and Pacific countries (OECD)",,1970,9322128000,
"African, Caribbean and Pacific countries (OECD)",,1971,9415069000,
"African, Caribbean and Pacific countries (OECD)",,1972,9627670000,
"African, Caribbean and Pacific countries (OECD)",,1973,9610042000,
"African, Caribbean and Pacific countries (OECD)",,1974,12911799000,
"African, Caribbean and Pacific countries (OECD)",,1975,15004590000,
"African, Caribbean and Pacific countries (OECD)",,1976,13908880000,
"African, Caribbean and Pacific countries (OECD)",,1977,14767294000,
"African, Caribbean and Pacific countries (OECD)",,1978,17308631000,
"African, Caribbean and Pacific countries (OECD)",,1979,18901817000,
"African, Caribbean and Pacific countries (OECD)",,1980,20049700000,
"African, Caribbean and Pacific countries (OECD)",,1981,20922186000,
"African, Caribbean and Pacific countries (OECD)",,1982,22219549000,
"African, Caribbean and Pacific countries (OECD)",,1983,21602089000,
"African, Caribbean and Pacific countries (OECD)",,1984,23332160000,
"African, Caribbean and Pacific countries (OECD)",,1985,25573243000,
"African, Caribbean and Pacific countries (OECD)",,1986,25056827000,
"African, Caribbean and Pacific countries (OECD)",,1987,24781020000,
"African, Caribbean and Pacific countries (OECD)",,1988,25652152000,
"African, Caribbean and Pacific countries (OECD)",,1989,27223910000,
"African, Caribbean and Pacific countries (OECD)",,1990,28550752000,
"African, Caribbean and Pacific countries (OECD)",,1991,26981198000,
"African, Caribbean and Pacific countries (OECD)",,1992,27484903000,
"African, Caribbean and Pacific countries (OECD)",,1993,25832761000,
"African, Caribbean and Pacific countries (OECD)",,1994,27600000000,
"African, Caribbean and Pacific countries (OECD)",,1995,24402831000,
"African, Caribbean and Pacific countries (OECD)",,1996,20854030000,
"African, Caribbean and Pacific countries (OECD)",,1997,20243186000,
"African, Caribbean and Pacific countries (OECD)",,1998,20390795000,
"African, Caribbean and Pacific countries (OECD)",,1999,18379862000,
"African, Caribbean and Pacific countries (OECD)",,2000,19165920000,
"African, Caribbean and Pacific countries (OECD)",,2001,21761792000,
"African, Caribbean and Pacific countries (OECD)",,2002,27668433000,
"African, Caribbean and Pacific countries (OECD)",,2003,31307020000,
"African, Caribbean and Pacific countries (OECD)",,2004,30382002000,
"African, Caribbean and Pacific countries (OECD)",,2005,36724050000,
"African, Caribbean and Pacific countries (OECD)",,2006,44636705000,
"African, Caribbean and Pacific countries (OECD)",,2007,36199215000,
"African, Caribbean and Pacific countries (OECD)",,2008,38323945000,
"African, Caribbean and Pacific countries (OECD)",,2009,43448787000,
"African, Caribbean and Pacific countries (OECD)",,2010,40531665000,
"African, Caribbean and Pacific countries (OECD)",,2011,44379116000,
"African, Caribbean and Pacific countries (OECD)",,2012,43713217000,
"African, Caribbean and Pacific countries (OECD)",,2013,44241342000,
"African, Caribbean and Pacific countries (OECD)",,2014,40741822000,
"African, Caribbean and Pacific countries (OECD)",,2015,44277180000,
"African, Caribbean and Pacific countries (OECD)",,2016,43494605000,
"African, Caribbean and Pacific countries (OECD)",,2017,47473880000,
"African, Caribbean and Pacific countries (OECD)",,2018,47495647000,
"African, Caribbean and Pacific countries (OECD)",,2019,50026602000,
"African, Caribbean and Pacific countries (OECD)",,2020,63054705000,
"African, Caribbean and Pacific countries (OECD)",,2021,55302560000,
"African, Caribbean and Pacific countries (OECD)",,2022,53737574000,
"African, Caribbean and Pacific countries (OECD)",,2023,55610438000,
Albania,ALB,1988,9518810,
Albania,ALB,1989,17803320,
Albania,ALB,1990,16070221,
Albania,ALB,1991,445507000,
Albania,ALB,1992,560792400,
Albania,ALB,1993,408857340,
Albania,ALB,1994,227043700,
Albania,ALB,1995,229557470,
Albania,ALB,1996,298114880,
Albania,ALB,1997,231631060,
Albania,ALB,1998,383281500,
Albania,ALB,1999,705731400,
Albania,ALB,2000,503689020,
Albania,ALB,2001,435102400,
Albania,ALB,2002,471736420,
Albania,ALB,2003,452575500,
Albania,ALB,2004,363173120,
Albania,ALB,2005,362559330,
Albania,ALB,2006,365013150,
Albania,ALB,2007,315619600,
Albania,ALB,2008,344307700,
Albania,ALB,2009,344140100,
Albania,ALB,2010,311588700,
Albania,ALB,2011,348925220,
Albania,ALB,2012,339451300,
Albania,ALB,2013,259466980,
Albania,ALB,2014,261148660,
Albania,ALB,2015,336328220,
Albania,ALB,2016,179140160,
Albania,ALB,2017,174593090,
Albania,ALB,2018,344682850,
Albania,ALB,2019,26205974,
Albania,ALB,2020,315713020,
Albania,ALB,2021,593693100,
Albania,ALB,2022,316767360,
Albania,ALB,2023,331434900,
Algeria,DZA,1960,3111169300,
Algeria,DZA,1961,3720844300,
Algeria,DZA,1962,3185198800,
Algeria,DZA,1963,2159120600,
Algeria,DZA,1964,1677947600,
Algeria,DZA,1965,1047453000,
Algeria,DZA,1966,886086800,
Algeria,DZA,1967,738735360,
Algeria,DZA,1968,786111550,
Algeria,DZA,1969,845095360,
Algeria,DZA,1970,792058900,
Algeria,DZA,1971,754041660,
Algeria,DZA,1972,586749900,
Algeria,DZA,1973,565086660,
Algeria,DZA,1974,540172160,
Algeria,DZA,1975,852362500,
Algeria,DZA,1976,497825100,
Algeria,DZA,1977,399434600,
Algeria,DZA,1978,510552930,
Algeria,DZA,1979,249235040,
Algeria,DZA,1980,449840060,
Algeria,DZA,1981,437620670,
Algeria,DZA,1982,378076220,
Algeria,DZA,1983,251432580,
Algeria,DZA,1984,367875550,
Algeria,DZA,1985,525591070,
Algeria,DZA,1986,364468160,
Algeria,DZA,1987,386585820,
Algeria,DZA,1988,292346620,
Algeria,DZA,1989,276969060,
Algeria,DZA,1990,471836960,
Algeria,DZA,1991,286684220,
Algeria,DZA,1992,481252740,
Algeria,DZA,1993,455560860,
Algeria,DZA,1994,406665540,
Algeria,DZA,1995,357936420,
Algeria,DZA,1996,373041800,
Algeria,DZA,1997,340047580,
Algeria,DZA,1998,588883800,
Algeria,DZA,1999,199604720,
Algeria,DZA,2000,316234080,
Algeria,DZA,2001,328126240,
Algeria,DZA,2002,286300480,
Algeria,DZA,2003,301819230,
Algeria,DZA,2004,355296320,
Algeria,DZA,2005,379504930,
Algeria,DZA,2006,253245870,
Algeria,DZA,2007,373741860,
Algeria,DZA,2008,287946900,
Algeria,DZA,2009,281654940,
Algeria,DZA,2010,191412220,
Algeria,DZA,2011,177595660,
Algeria,DZA,2012,143436300,
Algeria,DZA,2013,194484830,
Algeria,DZA,2014,146324220,
Algeria,DZA,2015,74609860,
Algeria,DZA,2016,152986780,
Algeria,DZA,2017,183285980,
Algeria,DZA,2018,142969660,
Algeria,DZA,2019,177297120,
Algeria,DZA,2020,208377300,
Algeria,DZA,2021,202675710,
Algeria,DZA,2022,216356400,
Algeria,DZA,2023,187227440,
All multilateral recipients (OECD),,1968,4994574000,
All multilateral recipients (OECD),,1969,9397864000,
All multilateral recipients (OECD),,1970,8669160000,
All multilateral recipients (OECD),,1971,7904867300,
All multilateral recipients (OECD),,1972,14592453000,
All multilateral recipients (OECD),,1973,9951300000,
All multilateral recipients (OECD),,1974,15418599000,
All multilateral recipients (OECD),,1975,16373738000,
All multilateral recipients (OECD),,1976,17234244000,
All multilateral recipients (OECD),,1977,20189405000,
All multilateral recipients (OECD),,1978,22219137000,
All multilateral recipients (OECD),,1979,17484433000,
All multilateral recipients (OECD),,1980,23417444000,
All multilateral recipients (OECD),,1981,18861586000,
All multilateral recipients (OECD),,1982,25208654000,
All multilateral recipients (OECD),,1983,23718435000,
All multilateral recipients (OECD),,1984,24187322000,
All multilateral recipients (OECD),,1985,20787710000,
All multilateral recipients (OECD),,1986,23497212000,
All multilateral recipients (OECD),,1987,21918464000,
All multilateral recipients (OECD),,1988,26126890000,
All multilateral recipients (OECD),,1989,22155823000,
All multilateral recipients (OECD),,1990,24886950000,
All multilateral recipients (OECD),,1991,23561249000,
All multilateral recipients (OECD),,1992,29163237000,
All multilateral recipients (OECD),,1993,25652910000,
All multilateral recipients (OECD),,1994,25831948000,
All multilateral recipients (OECD),,1995,23684612000,
All multilateral recipients (OECD),,1996,22747798000,
All multilateral recipients (OECD),,1997,22843340000,
All multilateral recipients (OECD),,1998,24711516000,
All multilateral recipients (OECD),,1999,23211368000,
All multilateral recipients (OECD),,2000,27199750000,
All multilateral recipients (OECD),,2001,28003258000,
All multilateral recipients (OECD),,2002,26709633000,
All multilateral recipients (OECD),,2003,25812287000,
All multilateral recipients (OECD),,2004,30577154000,
All multilateral recipients (OECD),,2005,29491970000,
All multilateral recipients (OECD),,2006,31186407000,
All multilateral recipients (OECD),,2007,31915338000,
All multilateral recipients (OECD),,2008,34570056000,
All multilateral recipients (OECD),,2009,37116097000,
All multilateral recipients (OECD),,2010,38901610000,
All multilateral recipients (OECD),,2011,38742030000,
All multilateral recipients (OECD),,2012,38819720000,
All multilateral recipients (OECD),,2013,41157970000,
All multilateral recipients (OECD),,2014,42165273000,
All multilateral recipients (OECD),,2015,41285853000,
All multilateral recipients (OECD),,2016,48035100000,
All multilateral recipients (OECD),,2017,46581965000,
All multilateral recipients (OECD),,2018,47187640000,
All multilateral recipients (OECD),,2019,46856140000,
All multilateral recipients (OECD),,2020,50523920000,
All multilateral recipients (OECD),,2021,54641046000,
All multilateral recipients (OECD),,2022,51547804000,
All multilateral recipients (OECD),,2023,58842750000,
America (OECD),,1960,2360625000,
America (OECD),,1961,6334395400,
America (OECD),,1962,6297806000,
America (OECD),,1963,6389974000,
America (OECD),,1964,5474579000,
America (OECD),,1965,6473660000,
America (OECD),,1966,6714865000,
America (OECD),,1967,5609881000,
America (OECD),,1968,5767212000,
America (OECD),,1969,4871881000,
America (OECD),,1970,5124276700,
America (OECD),,1971,4415124000,
America (OECD),,1972,4175252000,
America (OECD),,1973,3882945000,
America (OECD),,1974,3817841700,
America (OECD),,1975,4189200600,
America (OECD),,1976,3976438800,
America (OECD),,1977,3402421500,
America (OECD),,1978,3682692000,
America (OECD),,1979,4011260000,
America (OECD),,1980,4641450000,
America (OECD),,1981,5175257600,
America (OECD),,1982,5755897300,
America (OECD),,1983,6220129000,
America (OECD),,1984,6645399000,
America (OECD),,1985,7716086000,
America (OECD),,1986,7288745000,
America (OECD),,1987,7848087000,
America (OECD),,1988,7516911000,
America (OECD),,1989,8130115600,
America (OECD),,1990,8117740000,
America (OECD),,1991,8721477000,
America (OECD),,1992,7452956700,
America (OECD),,1993,7595839000,
America (OECD),,1994,8106523600,
America (OECD),,1995,7668363000,
America (OECD),,1996,9576755000,
America (OECD),,1997,7345526300,
America (OECD),,1998,7702199000,
America (OECD),,1999,8193991000,
America (OECD),,2000,7035783700,
America (OECD),,2001,8789608000,
America (OECD),,2002,7265202000,
America (OECD),,2003,7875600400,
America (OECD),,2004,8264313300,
America (OECD),,2005,7782569000,
America (OECD),,2006,8302921700,
America (OECD),,2007,7294989000,
America (OECD),,2008,9080370000,
America (OECD),,2009,9121883000,
America (OECD),,2010,9972842000,
America (OECD),,2011,10061621000,
America (OECD),,2012,10506797000,
America (OECD),,2013,10395118000,
America (OECD),,2014,10062239000,
America (OECD),,2015,11579965000,
America (OECD),,2016,12757369000,
America (OECD),,2017,9746087000,
America (OECD),,2018,11097589000,
America (OECD),,2019,9545704000,
America (OECD),,2020,12946632000,
America (OECD),,2021,11772111000,
America (OECD),,2022,13121636000,
America (OECD),,2023,11452358000,
Angola,AGO,1960,-421696,
Angola,AGO,1961,279918820,
Angola,AGO,1963,223943,
Angola,AGO,1965,12936468,
Angola,AGO,1966,29991158,
Angola,AGO,1967,183358910,
Angola,AGO,1968,59315,
Angola,AGO,1969,-1090814,
Angola,AGO,1970,-433956,
Angola,AGO,1971,-79980,
Angola,AGO,1972,684578,
Angola,AGO,1973,1039345,
Angola,AGO,1974,1734117,
Angola,AGO,1975,18223632,
Angola,AGO,1976,61154160,
Angola,AGO,1977,162316370,
Angola,AGO,1978,127833950,
Angola,AGO,1979,109514180,
Angola,AGO,1980,117268824,
Angola,AGO,1981,143166990,
Angola,AGO,1982,152398000,
Angola,AGO,1983,198641730,
Angola,AGO,1984,262612670,
Angola,AGO,1985,247957400,
Angola,AGO,1986,284935420,
Angola,AGO,1987,244215200,
Angola,AGO,1988,273747650,
Angola,AGO,1989,292201020,
Angola,AGO,1990,404195330,
Angola,AGO,1991,411394270,
Angola,AGO,1992,464419900,
Angola,AGO,1993,444547360,
Angola,AGO,1994,662940000,
Angola,AGO,1995,572914200,
Angola,AGO,1996,626980700,
Angola,AGO,1997,531339040,
Angola,AGO,1998,504456130,
Angola,AGO,1999,581948600,
Angola,AGO,2000,475895330,
Angola,AGO,2001,460684670,
Angola,AGO,2002,634962200,
Angola,AGO,2003,671197200,
Angola,AGO,2004,1377761000,
Angola,AGO,2005,490802020,
Angola,AGO,2006,206648340,
Angola,AGO,2007,278352830,
Angola,AGO,2008,367208580,
Angola,AGO,2009,257982850,
Angola,AGO,2010,240599330,
Angola,AGO,2011,202923090,
Angola,AGO,2012,257908320,
Angola,AGO,2013,290225540,
Angola,AGO,2014,240432960,
Angola,AGO,2015,391713340,
Angola,AGO,2016,234843970,
Angola,AGO,2017,245165180,
Angola,AGO,2018,170675800,
Angola,AGO,2019,26070030,
Angola,AGO,2020,119493000,
Angola,AGO,2021,239736540,
Angola,AGO,2022,95931870,
Angola,AGO,2023,140385680,
Anguilla,AIA,1975,7635148,
Anguilla,AIA,1976,5363028,
Anguilla,AIA,1977,4895998,
Anguilla,AIA,1978,8394843,
Anguilla,AIA,1979,6386578,
Anguilla,AIA,1980,4953133,
Anguilla,AIA,1981,5829975,
Anguilla,AIA,1982,4631907,
Anguilla,AIA,1983,6022335,
Anguilla,AIA,1984,4818266,
Anguilla,AIA,1985,7070407,
Anguilla,AIA,1986,6826705,
Anguilla,AIA,1987,7986986,
Anguilla,AIA,1988,6729039,
Anguilla,AIA,1989,11316915,
Anguilla,AIA,1990,5689912,
Anguilla,AIA,1991,9873476,
Anguilla,AIA,1992,6435881,
Anguilla,AIA,1993,7062480,
Anguilla,AIA,1994,9466302,
Anguilla,AIA,1995,4504519,
Anguilla,AIA,1996,3396914,
Anguilla,AIA,1997,3377534,
Anguilla,AIA,1998,3772937,
Anguilla,AIA,1999,2964526,
Anguilla,AIA,2000,4618713,
Anguilla,AIA,2001,4941703,
Anguilla,AIA,2002,676841,
Anguilla,AIA,2003,4869160,
Anguilla,AIA,2004,2911023,
Anguilla,AIA,2005,4503849,
Anguilla,AIA,2006,4740824,
Anguilla,AIA,2007,5766860,
Anguilla,AIA,2008,3006913,
Anguilla,AIA,2009,1667321,
Anguilla,AIA,2010,7991433,
Anguilla,AIA,2011,287604,
Anguilla,AIA,2012,4898352,
Anguilla,AIA,2013,7173395,
Antigua and Barbuda,ATG,1973,48063,
Antigua and Barbuda,ATG,1974,15816036,
Antigua and Barbuda,ATG,1975,8929389,
Antigua and Barbuda,ATG,1976,12776880,
Antigua and Barbuda,ATG,1977,20142376,
Antigua and Barbuda,ATG,1978,12297684,
Antigua and Barbuda,ATG,1979,9926004,
Antigua and Barbuda,ATG,1980,13978068,
Antigua and Barbuda,ATG,1981,23370360,
Antigua and Barbuda,ATG,1982,12574968,
Antigua and Barbuda,ATG,1983,8577014,
Antigua and Barbuda,ATG,1984,6174043,
Antigua and Barbuda,ATG,1985,7397959,
Antigua and Barbuda,ATG,1986,11490775,
Antigua and Barbuda,ATG,1987,11662653,
Antigua and Barbuda,ATG,1988,15962419,
Antigua and Barbuda,ATG,1989,7772716,
Antigua and Barbuda,ATG,1990,7258574,
Antigua and Barbuda,ATG,1991,10714248,
Antigua and Barbuda,ATG,1992,7268129,
Antigua and Barbuda,ATG,1993,4681757,
Antigua and Barbuda,ATG,1994,6017557,
Antigua and Barbuda,ATG,1995,2920716,
Antigua and Barbuda,ATG,1996,5056997,
Antigua and Barbuda,ATG,1997,5901773,
Antigua and Barbuda,ATG,1998,12041660,
Antigua and Barbuda,ATG,1999,10893305,
Antigua and Barbuda,ATG,2000,13639439,
Antigua and Barbuda,ATG,2001,10728073,
Antigua and Barbuda,ATG,2002,14680606,
Antigua and Barbuda,ATG,2003,6027631,
Antigua and Barbuda,ATG,2004,1698043,
Antigua and Barbuda,ATG,2005,7796636,
Antigua and Barbuda,ATG,2006,3084393,
Antigua and Barbuda,ATG,2007,5121869,
Antigua and Barbuda,ATG,2008,5289799,
Antigua and Barbuda,ATG,2009,4315990,
Antigua and Barbuda,ATG,2010,16560076,
Antigua and Barbuda,ATG,2011,11428305,
Antigua and Barbuda,ATG,2012,1814379,
Antigua and Barbuda,ATG,2013,1492350,
Antigua and Barbuda,ATG,2014,2382384,
Antigua and Barbuda,ATG,2015,1302058,
Antigua and Barbuda,ATG,2016,-1201323,
Antigua and Barbuda,ATG,2017,10613324,
Antigua and Barbuda,ATG,2018,17873984,
Antigua and Barbuda,ATG,2019,28473172,
Antigua and Barbuda,ATG,2020,26556544,
Antigua and Barbuda,ATG,2021,5674339,
Argentina,ARG,1960,270939170,
Argentina,ARG,1961,389538800,
Argentina,ARG,1962,407422880,
Argentina,ARG,1963,247793620,
Argentina,ARG,1964,-24588480,
Argentina,ARG,1965,-434546240,
Argentina,ARG,1966,-102187470,
Argentina,ARG,1967,63489068,
Argentina,ARG,1968,-21412644,
Argentina,ARG,1969,71210710,
Argentina,ARG,1970,-24999290,
Argentina,ARG,1971,32255092,
Argentina,ARG,1972,10141683,
Argentina,ARG,1973,61769370,
Argentina,ARG,1974,66972252,
Argentina,ARG,1975,42617588,
Argentina,ARG,1976,49862260,
Argentina,ARG,1977,50631430,
Argentina,ARG,1978,42365464,
Argentina,ARG,1979,64111940,
Argentina,ARG,1980,95426260,
Argentina,ARG,1981,88089850,
Argentina,ARG,1982,76243960,
Argentina,ARG,1983,88620344,
Argentina,ARG,1984,85301790,
Argentina,ARG,1985,103639704,
Argentina,ARG,1986,145013520,
Argentina,ARG,1987,137156560,
Argentina,ARG,1988,225981220,
Argentina,ARG,1989,324786370,
Argentina,ARG,1990,239004820,
Argentina,ARG,1991,368511780,
Argentina,ARG,1992,329733540,
Argentina,ARG,1993,342964740,
Argentina,ARG,1994,221730640,
Argentina,ARG,1995,161283230,
Argentina,ARG,1996,148849950,
Argentina,ARG,1997,129131864,
Argentina,ARG,1998,94104110,
Argentina,ARG,1999,94010130,
Argentina,ARG,2000,84393576,
Argentina,ARG,2001,250173620,
Argentina,ARG,2002,155852690,
Argentina,ARG,2003,153287790,
Argentina,ARG,2004,110068210,
Argentina,ARG,2005,103025530,
Argentina,ARG,2006,122227080,
Argentina,ARG,2007,91257720,
Argentina,ARG,2008,117430536,
Argentina,ARG,2009,109432296,
Argentina,ARG,2010,109802540,
Argentina,ARG,2011,92056264,
Argentina,ARG,2012,174076480,
Argentina,ARG,2013,36045944,
Argentina,ARG,2014,47052076,
Argentina,ARG,2015,-19819296,
Argentina,ARG,2016,6418063,
Argentina,ARG,2017,2921668,
Argentina,ARG,2018,80478630,
Argentina,ARG,2019,18859410,
Argentina,ARG,2020,104815830,
Argentina,ARG,2021,149810780,
Argentina,ARG,2022,385349540,
